"","OBJECTID","PA_area","dist_rod","dist_hid","dist_hidro_rod"
"1481",2362,618585812.513947,49098.8152673808,67270.041830696,49098.8152673812
"1482",2363,618585812.51379,40780.4047451753,47218.6929224954,40780.4047451753
"1483",2364,618574937.622404,28301.4720714628,32107.6256630579,28301.4720714628
"1484",2365,618585812.51379,26684.8324886967,10599.0185008622,10599.0185008633
"1485",2366,618580297.377835,21123.6981286222,7722.74340435569,7722.74340435683
"1486",2367,618585812.51379,22572.1346767782,23417.5741452145,22572.1346767782
"1487",2368,616543083.225398,34682.5839717833,35956.6702181249,34682.5839717833
"1488",2369,618333986.005683,52425.9607905335,56393.7675869393,52425.9607905335
"1489",2370,618569536.597563,67240.2444677376,79481.8617252257,67240.2444677376
"1490",2371,618585570.296936,83065.416128126,103429.156812163,83065.4161281255
"1491",2372,618585915.642575,75800.0936998821,88595.2921551489,75800.0936998821
"1492",2373,618542802.874323,50927.6183352416,63691.4736375094,50927.6183352416
"1493",2374,615868820.937331,26319.6695227344,38928.7134330607,26319.6695227344
"1494",2375,602791745.094764,1789.4763778932,14615.6547998074,1789.47637789215
"1495",2376,602735006.465424,22830.0974228423,9057.00735346234,9057.00735345705
"1496",2377,555927090.40322,47739.7648552282,33534.6131212297,33534.6131212424
"1497",2378,618585812.513634,72720.037297492,42532.8705485816,42532.8705485875
"1498",2379,580082356.371116,97716.8160998246,42756.6922639943,42756.6922639943
"1499",2380,572979128.542141,116907.954213241,55010.6747733068,55010.6747733068
"1500",2381,592298695.990717,110245.256726419,64186.5779885309,64186.5779885393
"1501",2382,72791706.1936337,85877.5065918915,40796.2441903681,40796.2441903681
"1502",2385,180826970.171925,12889.723510244,24483.6991798217,12889.7235102426
"1503",2386,618576370.70048,11552.636055328,49479.3235733443,11552.636055328
"1504",2387,618576576.39575,36530.4210722948,74486.482272731,36530.4210722945
"1505",2388,618590016.758172,61535.7280490529,99496.4780412006,61535.7280490525
"1506",2389,479737021.779304,86545.4963405143,109435.829998858,86545.496340514
"1507",2390,606403293.266229,80670.5336158504,97506.4162336469,80670.5336158504
"1508",2391,618585812.51379,56551.8473410987,89517.8276128269,56551.8473410987
"1509",2392,618762530.920995,32419.3272634135,83308.3704193372,32419.3272634139
"1510",2393,618585812.513947,8271.84689776089,63529.5495456748,8271.84689776018
"1511",2394,618585812.51379,15868.7623101804,39273.5458732706,15868.7623101804
"1512",2395,302876281.992214,39967.5622475804,17327.2152384133,39967.5622475803
"1513",2399,8060.54342062771,3699.26225639063,2433.0913076572,3699.26225638993
"1514",2400,152161837.918354,2939.43087348194,4809.4761739715,2939.43087348203
"1515",2401,217924318.442144,48308.9782683172,18316.8915779076,18316.8915779138
"1516",2402,393237203.073783,30793.9811219543,19921.3507604309,19921.350760437
"1517",2403,447117194.78058,12392.6398233168,12736.3692568922,12392.639823317
"1518",2404,618585812.513634,6476.2394490988,13236.2845588954,6476.2394490988
"1519",2405,618585812.513634,25366.5974396569,21756.2157018674,21756.2157018623
"1520",2406,618585812.51379,44314.7783608862,22373.0476239962,22373.0476240041
"1521",2407,620962222.674274,65180.8260357718,10071.6863735078,10071.6863735142
"1522",2408,619784200.099997,86652.1514365644,2118.34092761813,2118.3409276243
"1523",2409,618651235.69827,108265.983027254,13211.8121759552,13211.8121759595
"1524",2410,299308142.593677,129891.697185236,22058.5069215784,22058.5069215844
"1525",2411,370696327.465892,151478.27549507,6765.19876423878,6765.19876424227
"1526",2412,588822768.136513,172921.901409108,4276.4885492281,4276.48854923687
"1527",2413,618602794.422447,194504.024262875,22073.5153081375,22073.5153081354
"1528",2414,618585812.51379,216086.429761695,40118.1066498007,40118.1066497961
"1529",2415,535887455.323933,237668.988363504,43803.5199564506,43803.5199564569
"1530",2416,9923996.62014372,259252.652478878,19967.5280925594,19967.5280925664
"1531",2418,447541522.998626,302480.862236644,19699.1304520484,19699.1304520442
"1532",2419,618585812.513634,324131.16713694,40290.4478163645,40290.4478163729
"1533",2420,618585812.51379,345781.930728623,30125.1813441796,30125.1813441839
"1534",2421,618146702.283613,367402.644271979,13528.253522519,13528.2535225229
"1535",2422,617457830.598585,381702.256524766,3342.25104689567,3342.2510469026
"1536",2423,618585812.51379,380567.605246914,8912.95533679706,8912.95533679229
"1537",2424,618585812.513947,361689.332624864,23769.4116026492,23769.4116026523
"1538",2425,618585812.51379,343585.93953297,41401.7673798756,41401.7673798808
"1539",2426,618585812.513634,326384.674672328,60534.0282682653,60534.0282682598
"1540",2427,618988758.286701,310235.2818848,69579.0775624271,69579.0775624295
"1541",2428,618585812.51379,295305.936219118,78621.4053971518,78621.4053971515
"1542",2429,573357097.329353,280785.64369693,83025.5575095527,83025.5575095472
"1543",2430,284796789.762543,262285.057167448,89158.6925174946,89158.6925174888
"1544",2431,143718269.384187,243412.165212376,83999.8902246355,83999.8902246348
"1545",2432,200370453.653044,225481.289470253,78969.4053661558,78969.4053661627
"1546",2433,167029334.657336,208229.56468121,71425.6832049207,71425.6832049207
"1547",2434,117491095.126035,191543.758298099,66640.6079259263,66640.6079259309
"1548",2435,398702614.683314,172241.50528564,41894.5490864609,41894.5490864655
"1549",2436,230540360.986438,154570.943467709,17894.0297102393,17894.0297102419
"1550",2448,529589022.035914,92884.7477039363,12301.0335757579,12301.0335757514
"1551",2449,618869600.845261,117613.109357657,20164.9653752117,20164.9653752148
"1552",2450,618869600.845421,142437.873046818,8051.14694607298,8051.14694607465
"1553",2451,618869600.845261,167316.569106386,12.7151958660767,12.7151958708407
"1554",2452,618869600.845104,192228.292253899,11695.0931160897,11695.0931160938
"1555",2453,618869600.845261,215054.825447752,15084.4560548642,15084.4560548711
"1556",2454,618869600.845104,200923.130332653,4718.86211914166,4718.86211913977
"1557",2455,618869600.845261,189048.490464435,22910.8404331281,22910.8404331273
"1558",2456,618869600.845261,173774.201497147,37102.3973221813,37102.3973221766
"1559",2457,468850922.053386,159739.433884228,38161.0452801504,38161.0452801567
"1560",2458,273210082.23714,148122.831047887,40581.8069862322,40581.8069862392
"1561",2459,235357207.715749,136847.983224727,47724.6141258882,47724.6141258799
"1562",2460,205705510.880576,128138.041857291,61960.9895410073,61960.9895410074
"1563",2461,335424365.98001,122450.869884069,81422.9064388689,81422.9064388724
"1564",2462,152268679.042767,102738.804089374,72381.2174479307,72381.2174479227
"1565",2463,161988161.008358,77808.6773998576,49000.4531050814,49000.4531050753
